test_image,response,resptime
./../img_out/final_20_12_7_4/nature_3_r.jpeg,3,6.152888
./../img_out/final_20_12_7_4/portrait_9_4.jpeg,1,0.804462
./../img_out/final_20_12_7_4/art_6_20.jpeg,2,1.540083
./../img_out/final_20_12_7_4/art_9_12.jpeg,2,2.394912
./../img_out/final_20_12_7_4/nature_10_7.jpeg,2,1.143252
./../img_out/final_20_12_7_4/nautre_9_r.jpeg,3,1.479801
./../img_out/final_20_12_7_4/art_5.jpeg,3,2.359926
./../img_out/final_20_12_7_4/nature_2_7.jpeg,2,1.155923
./../img_out/final_20_12_7_4/portrait_4_r_4.jpeg,1,0.747409
./../img_out/final_20_12_7_4/nautre_8_7.jpeg,2,1.953983
./../img_out/final_20_12_7_4/nature_3.jpeg,3,1.412757
./../img_out/final_20_12_7_4/portrait_8_4.jpeg,1,1.419259
./../img_out/final_20_12_7_4/nature_2_r_20.jpeg,2,0.924803
./../img_out/final_20_12_7_4/nautre_9_r_20.jpeg,3,1.279392
./../img_out/final_20_12_7_4/art_9_r_7.jpeg,2,1.932904
./../img_out/final_20_12_7_4/portrait_3_r_12.jpeg,3,4.277156
./../img_out/final_20_12_7_4/portrait_1_12.jpeg,4,4.420505
./../img_out/final_20_12_7_4/portrait_2_4.jpeg,2,1.258276
./../img_out/final_20_12_7_4/portrait_6_r_7.jpeg,1,0.921128
./../img_out/final_20_12_7_4/art_3_r_7.jpeg,2,0.907125
./../img_out/final_20_12_7_4/nature_1_r_20.jpeg,3,2.232224
./../img_out/final_20_12_7_4/nautre_8_r_20.jpeg,2,3.755519
./../img_out/final_20_12_7_4/portrait_2_7.jpeg,2,1.725379
./../img_out/final_20_12_7_4/portrait_9_r_20.jpeg,4,2.674118
./../img_out/final_20_12_7_4/nature_1_r_12.jpeg,2,0.934178
./../img_out/final_20_12_7_4/art_9_20.jpeg,4,2.849487
./../img_out/final_20_12_7_4/nature_2_4.jpeg,2,0.78529
./../img_out/final_20_12_7_4/portrait_10_7.jpeg,2,1.341842
./../img_out/final_20_12_7_4/portrait_1_20.jpeg,5,1.779126
./../img_out/final_20_12_7_4/art_7_12.jpeg,2,1.478628
./../img_out/final_20_12_7_4/portrait_6_12.jpeg,2,2.31868
./../img_out/final_20_12_7_4/nature_3_20.jpeg,3,1.409119
./../img_out/final_20_12_7_4/nautre_8_r.jpeg,4,8.631859
./../img_out/final_20_12_7_4/nature_5_7.jpeg,2,2.609319
./../img_out/final_20_12_7_4/portrait_2.jpeg,5,1.811575
./../img_out/final_20_12_7_4/nature_7_r_7.jpeg,2,2.703122
./../img_out/final_20_12_7_4/portrait_6_4.jpeg,1,1.330207
./../img_out/final_20_12_7_4/portrait_8_20.jpeg,5,1.377478
./../img_out/final_20_12_7_4/portrait_7_4.jpeg,1,1.489388
./../img_out/final_20_12_7_4/art_8_r_7.jpeg,2,2.011409
./../img_out/final_20_12_7_4/nature_4_4.jpeg,1,1.078953
./../img_out/final_20_12_7_4/art_2_r_20.jpeg,1,1.036508
./../img_out/final_20_12_7_4/art_7_r_12.jpeg,4,1.346131
./../img_out/final_20_12_7_4/art_1_r_4.jpeg,3,1.899549
./../img_out/final_20_12_7_4/nautre_9_12.jpeg,4,2.842858
./../img_out/final_20_12_7_4/nature_3_r_20.jpeg,5,1.625418
./../img_out/final_20_12_7_4/art_9_r_12.jpeg,2,1.047743
./../img_out/final_20_12_7_4/portrait_7_7.jpeg,1,1.098066
./../img_out/final_20_12_7_4/nature_6_r.jpeg,1,1.411765
./../img_out/final_20_12_7_4/nature_7_4.jpeg,1,0.681864
./../img_out/final_20_12_7_4/art_7_20.jpeg,2,2.801077
./../img_out/final_20_12_7_4/portrait_5_7.jpeg,2,2.410854
./../img_out/final_20_12_7_4/nature_2_r_7.jpeg,2,1.709235
./../img_out/final_20_12_7_4/nature_10_4.jpeg,2,0.943748
./../img_out/final_20_12_7_4/portrait_2_12.jpeg,5,1.032647
./../img_out/final_20_12_7_4/portrait_5_4.jpeg,1,1.275677
./../img_out/final_20_12_7_4/art_1_12.jpeg,4,1.313605
./../img_out/final_20_12_7_4/nautre_8_4.jpeg,2,1.544932
./../img_out/final_20_12_7_4/nature_3_r_4.jpeg,1,0.978706
./../img_out/final_20_12_7_4/nature_10.jpeg,2,0.685192
./../img_out/final_20_12_7_4/art_5_20.jpeg,4,2.75126
./../img_out/final_20_12_7_4/art_10_20.jpeg,1,3.461058
./../img_out/final_20_12_7_4/art_2_r_7.jpeg,2,2.780392
./../img_out/final_20_12_7_4/portrait_9_20.jpeg,4,1.19634
./../img_out/final_20_12_7_4/art_5_4.jpeg,2,1.737738
./../img_out/final_20_12_7_4/art_6_7.jpeg,2,1.294577
./../img_out/final_20_12_7_4/portrait_2_r_7.jpeg,4,3.405126
./../img_out/final_20_12_7_4/portrait_3_r_4.jpeg,2,2.501492
./../img_out/final_20_12_7_4/art_4_r_12.jpeg,4,1.756202
./../img_out/final_20_12_7_4/portrait_4.jpeg,5,1.041142
./../img_out/final_20_12_7_4/portrait_2_r_12.jpeg,5,0.831839
./../img_out/final_20_12_7_4/portrait_9_r_7.jpeg,2,2.37183
./../img_out/final_20_12_7_4/nature_6_7.jpeg,1,0.817901
./../img_out/final_20_12_7_4/art_3_7.jpeg,3,1.040599
./../img_out/final_20_12_7_4/portrait_2_r_4.jpeg,1,2.520119
./../img_out/final_20_12_7_4/art_10_r_20.jpeg,2,0.852042
./../img_out/final_20_12_7_4/art_6_r_7.jpeg,2,3.104237
./../img_out/final_20_12_7_4/art_2.jpeg,4,4.001122
./../img_out/final_20_12_7_4/nautre_9_4.jpeg,3,3.082051
./../img_out/final_20_12_7_4/portrait_3_20.jpeg,5,1.212411
./../img_out/final_20_12_7_4/nature_10_r_20.jpeg,4,1.612273
./../img_out/final_20_12_7_4/nature_6_r_4.jpeg,2,1.178145
./../img_out/final_20_12_7_4/nature_1_r.jpeg,3,3.298175
./../img_out/final_20_12_7_4/portrait_9_r_4.jpeg,2,3.707821
./../img_out/final_20_12_7_4/portrait_8_r_7.jpeg,2,1.212133
./../img_out/final_20_12_7_4/art_7_4.jpeg,1,1.366171
./../img_out/final_20_12_7_4/art_4_12.jpeg,2,0.858529
./../img_out/final_20_12_7_4/portrait_10_r_12.jpeg,4,1.544927
./../img_out/final_20_12_7_4/portrait_3_4.jpeg,2,2.319442
./../img_out/final_20_12_7_4/nature_7_r_12.jpeg,1,2.528909
./../img_out/final_20_12_7_4/nature_5_r_12.jpeg,2,3.18227
