test_image,response,resptime
./img_out/final_20_12_7_4/nature_3_r.jpeg,4,28.686909
./img_out/final_20_12_7_4/portrait_9_4.jpeg,1,2.191806
./img_out/final_20_12_7_4/art_6_20.jpeg,2,4.689927
./img_out/final_20_12_7_4/art_9_12.jpeg,2,3.736233
./img_out/final_20_12_7_4/nature_10_7.jpeg,1,1.395104
./img_out/final_20_12_7_4/nautre_9_r.jpeg,4,1.178283
./img_out/final_20_12_7_4/art_5.jpeg,3,5.888736
./img_out/final_20_12_7_4/nature_2_7.jpeg,1,1.333851
./img_out/final_20_12_7_4/portrait_4_r_4.jpeg,1,1.162729
./img_out/final_20_12_7_4/nautre_8_7.jpeg,2,2.110508
./img_out/final_20_12_7_4/nature_3.jpeg,4,5.903342
./img_out/final_20_12_7_4/portrait_8_4.jpeg,1,1.372017
./img_out/final_20_12_7_4/nature_2_r_20.jpeg,2,5.272169
./img_out/final_20_12_7_4/nautre_9_r_20.jpeg,2,4.830855
./img_out/final_20_12_7_4/art_9_r_7.jpeg,1,1.227602
./img_out/final_20_12_7_4/portrait_3_r_12.jpeg,4,7.262694
./img_out/final_20_12_7_4/portrait_1_12.jpeg,5,3.768063
./img_out/final_20_12_7_4/portrait_2_4.jpeg,1,5.302165
./img_out/final_20_12_7_4/portrait_6_r_7.jpeg,1,1.500523
./img_out/final_20_12_7_4/art_3_r_7.jpeg,1,1.39648
./img_out/final_20_12_7_4/nature_1_r_20.jpeg,5,7.675149
./img_out/final_20_12_7_4/nautre_8_r_20.jpeg,4,2.310128
./img_out/final_20_12_7_4/portrait_2_7.jpeg,4,4.625348
./img_out/final_20_12_7_4/portrait_9_r_20.jpeg,4,4.68916
./img_out/final_20_12_7_4/nature_1_r_12.jpeg,3,7.918087
./img_out/final_20_12_7_4/art_9_20.jpeg,3,2.653395
./img_out/final_20_12_7_4/nature_2_4.jpeg,1,1.87935
./img_out/final_20_12_7_4/portrait_10_7.jpeg,2,18.870583
./img_out/final_20_12_7_4/portrait_1_20.jpeg,5,5.368724
./img_out/final_20_12_7_4/art_7_12.jpeg,3,4.333337
./img_out/final_20_12_7_4/portrait_6_12.jpeg,2,4.183611
./img_out/final_20_12_7_4/nature_3_20.jpeg,4,9.013665
./img_out/final_20_12_7_4/nautre_8_r.jpeg,5,5.706813
./img_out/final_20_12_7_4/nature_5_7.jpeg,1,3.752971
./img_out/final_20_12_7_4/portrait_2.jpeg,5,13.768221
./img_out/final_20_12_7_4/nature_7_r_7.jpeg,2,4.82334
./img_out/final_20_12_7_4/portrait_6_4.jpeg,1,0.956178
./img_out/final_20_12_7_4/portrait_8_20.jpeg,4,12.281179
./img_out/final_20_12_7_4/portrait_7_4.jpeg,1,1.357404
./img_out/final_20_12_7_4/art_8_r_7.jpeg,2,3.566512
