test_image,response,resptime
./img_out/final_20_12_7_4/nature_3_r.jpeg,5,19.424961
./img_out/final_20_12_7_4/portrait_9_4.jpeg,2,12.449669
./img_out/final_20_12_7_4/art_6_20.jpeg,5,11.423132
./img_out/final_20_12_7_4/art_9_12.jpeg,3,6.118696
./img_out/final_20_12_7_4/nature_10_7.jpeg,3,3.432264
./img_out/final_20_12_7_4/nautre_9_r.jpeg,5,2.520049
./img_out/final_20_12_7_4/art_5.jpeg,3,12.234953
./img_out/final_20_12_7_4/nature_2_7.jpeg,1,3.864456
./img_out/final_20_12_7_4/portrait_4_r_4.jpeg,3,6.827776
./img_out/final_20_12_7_4/nautre_8_7.jpeg,5,3.221323
./img_out/final_20_12_7_4/nature_3.jpeg,5,2.46556
./img_out/final_20_12_7_4/portrait_8_4.jpeg,3,12.842042
./img_out/final_20_12_7_4/nature_2_r_20.jpeg,4,5.311261
./img_out/final_20_12_7_4/nautre_9_r_20.jpeg,5,1.26486
./img_out/final_20_12_7_4/art_9_r_7.jpeg,3,4.950939
./img_out/final_20_12_7_4/portrait_3_r_12.jpeg,5,1.960222
./img_out/final_20_12_7_4/portrait_1_12.jpeg,5,0.830015
./img_out/final_20_12_7_4/portrait_2_4.jpeg,4,5.007862
./img_out/final_20_12_7_4/portrait_6_r_7.jpeg,3,2.827619
./img_out/final_20_12_7_4/art_3_r_7.jpeg,2,3.134796
./img_out/final_20_12_7_4/nature_1_r_20.jpeg,4,2.378586
./img_out/final_20_12_7_4/nautre_8_r_20.jpeg,5,1.474176
./img_out/final_20_12_7_4/portrait_2_7.jpeg,5,0.979718
./img_out/final_20_12_7_4/portrait_9_r_20.jpeg,5,0.91253
./img_out/final_20_12_7_4/nature_1_r_12.jpeg,5,0.809267
./img_out/final_20_12_7_4/art_9_20.jpeg,3,2.214608
./img_out/final_20_12_7_4/nature_2_4.jpeg,2,6.985289
./img_out/final_20_12_7_4/portrait_10_7.jpeg,5,1.174635
./img_out/final_20_12_7_4/portrait_1_20.jpeg,5,0.651166
./img_out/final_20_12_7_4/art_7_12.jpeg,3,2.701342
./img_out/final_20_12_7_4/portrait_6_12.jpeg,4,1.791446
./img_out/final_20_12_7_4/nature_3_20.jpeg,5,0.758776
./img_out/final_20_12_7_4/nautre_8_r.jpeg,5,0.635131
./img_out/final_20_12_7_4/nature_5_7.jpeg,3,8.264198
./img_out/final_20_12_7_4/portrait_2.jpeg,5,1.110962
./img_out/final_20_12_7_4/nature_7_r_7.jpeg,3,2.589498
./img_out/final_20_12_7_4/portrait_6_4.jpeg,3,3.377193
./img_out/final_20_12_7_4/portrait_8_20.jpeg,5,1.333491
./img_out/final_20_12_7_4/portrait_7_4.jpeg,3,1.700644
./img_out/final_20_12_7_4/art_8_r_7.jpeg,2,4.784121
./img_out/final_20_12_7_4/nature_4_4.jpeg,2,2.046793
./img_out/final_20_12_7_4/art_2_r_20.jpeg,5,4.247804
./img_out/final_20_12_7_4/art_7_r_12.jpeg,3,2.472336
./img_out/final_20_12_7_4/art_1_r_4.jpeg,4,1.253183
./img_out/final_20_12_7_4/nautre_9_12.jpeg,5,1.069601
./img_out/final_20_12_7_4/nature_3_r_20.jpeg,5,0.916878
./img_out/final_20_12_7_4/art_9_r_12.jpeg,3,2.886399
./img_out/final_20_12_7_4/portrait_7_7.jpeg,4,2.90013
./img_out/final_20_12_7_4/nature_6_r.jpeg,5,1.085432
./img_out/final_20_12_7_4/nature_7_4.jpeg,2,2.329532
./img_out/final_20_12_7_4/art_7_20.jpeg,3,1.829982
./img_out/final_20_12_7_4/portrait_5_7.jpeg,4,2.863014
./img_out/final_20_12_7_4/nature_2_r_7.jpeg,3,1.187836
./img_out/final_20_12_7_4/nature_10_4.jpeg,3,0.958721
./img_out/final_20_12_7_4/portrait_2_12.jpeg,5,0.975037
./img_out/final_20_12_7_4/portrait_5_4.jpeg,3,3.641385
./img_out/final_20_12_7_4/art_1_12.jpeg,5,2.026444
./img_out/final_20_12_7_4/nautre_8_4.jpeg,4,3.523347
./img_out/final_20_12_7_4/nature_3_r_4.jpeg,4,2.130499
./img_out/final_20_12_7_4/nature_10.jpeg,5,3.171071
./img_out/final_20_12_7_4/art_5_20.jpeg,3,2.936903
./img_out/final_20_12_7_4/art_10_20.jpeg,4,2.317128
./img_out/final_20_12_7_4/art_2_r_7.jpeg,5,1.997999
./img_out/final_20_12_7_4/portrait_9_20.jpeg,5,0.567567
./img_out/final_20_12_7_4/art_5_4.jpeg,2,2.780972
./img_out/final_20_12_7_4/art_6_7.jpeg,4,3.128702
./img_out/final_20_12_7_4/portrait_2_r_7.jpeg,5,0.822662
./img_out/final_20_12_7_4/portrait_3_r_4.jpeg,3,4.297562
./img_out/final_20_12_7_4/art_4_r_12.jpeg,5,1.336417
./img_out/final_20_12_7_4/portrait_4.jpeg,5,0.654538
./img_out/final_20_12_7_4/portrait_2_r_12.jpeg,5,0.79586
./img_out/final_20_12_7_4/portrait_9_r_7.jpeg,3,5.726149
./img_out/final_20_12_7_4/nature_6_7.jpeg,4,1.961814
./img_out/final_20_12_7_4/art_3_7.jpeg,3,1.223255
./img_out/final_20_12_7_4/portrait_2_r_4.jpeg,3,2.112308
./img_out/final_20_12_7_4/art_10_r_20.jpeg,5,1.24531
./img_out/final_20_12_7_4/art_6_r_7.jpeg,5,0.838274
./img_out/final_20_12_7_4/art_2.jpeg,5,0.723335
./img_out/final_20_12_7_4/nautre_9_4.jpeg,5,0.605353
./img_out/final_20_12_7_4/portrait_3_20.jpeg,5,1.342529
./img_out/final_20_12_7_4/nature_10_r_20.jpeg,5,2.254708
./img_out/final_20_12_7_4/nature_6_r_4.jpeg,4,1.338693
./img_out/final_20_12_7_4/nature_1_r.jpeg,4,2.361973
./img_out/final_20_12_7_4/portrait_9_r_4.jpeg,3,1.676903
./img_out/final_20_12_7_4/portrait_8_r_7.jpeg,5,3.925613
./img_out/final_20_12_7_4/art_7_4.jpeg,3,9.0777
./img_out/final_20_12_7_4/art_4_12.jpeg,5,1.691605
./img_out/final_20_12_7_4/portrait_10_r_12.jpeg,5,1.245618
./img_out/final_20_12_7_4/portrait_3_4.jpeg,3,1.321147
./img_out/final_20_12_7_4/nature_7_r_12.jpeg,4,1.702133
./img_out/final_20_12_7_4/nature_5_r_12.jpeg,4,3.078125
./img_out/final_20_12_7_4/art_1_r_7.jpeg,5,0.911422
./img_out/final_20_12_7_4/portrait_1_r_4.jpeg,4,1.708375
./img_out/final_20_12_7_4/nature_7_12.jpeg,4,4.537862
./img_out/final_20_12_7_4/portrait_6_20.jpeg,5,1.031492
./img_out/final_20_12_7_4/art_10_7.jpeg,5,1.15706
./img_out/final_20_12_7_4/portrait_4_r_12.jpeg,5,0.625524
./img_out/final_20_12_7_4/nature_3_7.jpeg,4,3.533891
./img_out/final_20_12_7_4/art_7_r.jpeg,5,4.175759
./img_out/final_20_12_7_4/portrait_9_r.jpeg,5,0.858795
./img_out/final_20_12_7_4/portrait_10_4.jpeg,3,1.923225
./img_out/final_20_12_7_4/nature_7_20.jpeg,5,1.848667
./img_out/final_20_12_7_4/nature_4_7.jpeg,4,1.384913
./img_out/final_20_12_7_4/art_4_r_20.jpeg,5,1.368954
./img_out/final_20_12_7_4/art_5_r_20.jpeg,3,2.997861
./img_out/final_20_12_7_4/nature_1.jpeg,5,1.173859
./img_out/final_20_12_7_4/nautre_9_r_4.jpeg,5,0.595712
./img_out/final_20_12_7_4/art_7_r_7.jpeg,4,2.919249
./img_out/final_20_12_7_4/portrait_4_12.jpeg,4,1.312696
./img_out/final_20_12_7_4/nature_3_12.jpeg,5,5.592527
./img_out/final_20_12_7_4/art_2_r.jpeg,5,1.387454
./img_out/final_20_12_7_4/portrait_3_r_20.jpeg,5,0.805466
./img_out/final_20_12_7_4/nature_5_r_4.jpeg,3,3.786734
./img_out/final_20_12_7_4/art_6_r_20.jpeg,5,1.014022
./img_out/final_20_12_7_4/portrait_5_r.jpeg,5,0.679174
./img_out/final_20_12_7_4/art_1.jpeg,5,0.630445
./img_out/final_20_12_7_4/portrait_8_7.jpeg,4,1.381163
./img_out/final_20_12_7_4/nature_10_r_12.jpeg,5,1.56602
./img_out/final_20_12_7_4/nature_7_r.jpeg,4,1.981
./img_out/final_20_12_7_4/portrait_2_20.jpeg,5,0.71064
./img_out/final_20_12_7_4/nature_5_r.jpeg,5,2.239005
./img_out/final_20_12_7_4/art_3_r_4.jpeg,4,1.183806
./img_out/final_20_12_7_4/art_4_4.jpeg,5,0.871158
./img_out/final_20_12_7_4/art_7_r_20.jpeg,5,0.783003
./img_out/final_20_12_7_4/art_2_r_4.jpeg,3,3.004285
./img_out/final_20_12_7_4/portrait_10_r_20.jpeg,5,0.865454
./img_out/final_20_12_7_4/portrait_2_r.jpeg,5,0.601416
./img_out/final_20_12_7_4/portrait_3_r_7.jpeg,5,0.502057
./img_out/final_20_12_7_4/art_10_12.jpeg,4,1.235242
./img_out/final_20_12_7_4/art_8_r_20.jpeg,5,0.877149
./img_out/final_20_12_7_4/portrait_10_20.jpeg,5,0.654835
./img_out/final_20_12_7_4/art_3_4.jpeg,3,3.147907
./img_out/final_20_12_7_4/art_4_r_7.jpeg,5,1.047811
./img_out/final_20_12_7_4/nature_6_r_20.jpeg,5,2.482803
./img_out/final_20_12_7_4/nature_4_r_4.jpeg,3,2.213456
./img_out/final_20_12_7_4/art_9_r_4.jpeg,2,2.863905
./img_out/final_20_12_7_4/art_10_r.jpeg,3,1.483341
./img_out/final_20_12_7_4/nature_7_7.jpeg,3,3.885064
./img_out/final_20_12_7_4/portrait_7_r_12.jpeg,5,1.669754
./img_out/final_20_12_7_4/nature_1_7.jpeg,5,0.862135
./img_out/final_20_12_7_4/portrait_1_r.jpeg,5,0.79393
./img_out/final_20_12_7_4/nature_2.jpeg,5,0.956035
./img_out/final_20_12_7_4/art_9_r.jpeg,3,1.319695
./img_out/final_20_12_7_4/art_4_7.jpeg,5,2.10122
./img_out/final_20_12_7_4/nautre_9_7.jpeg,5,0.586864
./img_out/final_20_12_7_4/portrait_9_r_12.jpeg,5,3.412084
./img_out/final_20_12_7_4/nautre_8_r_12.jpeg,4,1.236725
./img_out/final_20_12_7_4/art_5_r_4.jpeg,2,2.048303
./img_out/final_20_12_7_4/nature_1_20.jpeg,4,2.51404
./img_out/final_20_12_7_4/portrait_5.jpeg,5,0.840811
./img_out/final_20_12_7_4/art_1_7.jpeg,5,0.572881
./img_out/final_20_12_7_4/art_4.jpeg,5,0.611238
./img_out/final_20_12_7_4/portrait_8_r_20.jpeg,5,0.59989
./img_out/final_20_12_7_4/nature_5_r_7.jpeg,3,6.334227
./img_out/final_20_12_7_4/art_1_r.jpeg,5,0.639193
./img_out/final_20_12_7_4/art_3_20.jpeg,5,0.99925
./img_out/final_20_12_7_4/nautre_9_20.jpeg,5,0.574211
./img_out/final_20_12_7_4/art_5_r_12.jpeg,4,3.069846
./img_out/final_20_12_7_4/art_2_7.jpeg,3,2.49678
./img_out/final_20_12_7_4/portrait_6_r_4.jpeg,3,2.941198
./img_out/final_20_12_7_4/portrait_4_r_20.jpeg,5,1.065073
./img_out/final_20_12_7_4/portrait_7.jpeg,5,0.584388
./img_out/final_20_12_7_4/art_8_4.jpeg,3,2.80217
