test_image,response,resptime
./../img_out/final_20_12_7_4/nature_3_r.jpeg,5,8.336228
./../img_out/final_20_12_7_4/portrait_9_4.jpeg,1,3.467105
./../img_out/final_20_12_7_4/art_6_20.jpeg,2,8.13346
./../img_out/final_20_12_7_4/art_9_12.jpeg,2,3.843589
./../img_out/final_20_12_7_4/nature_10_7.jpeg,1,1.598709
./../img_out/final_20_12_7_4/nautre_9_r.jpeg,3,3.90804
./../img_out/final_20_12_7_4/art_5.jpeg,3,1.549889
./../img_out/final_20_12_7_4/nature_2_7.jpeg,1,2.168924
./../img_out/final_20_12_7_4/portrait_4_r_4.jpeg,1,0.84748
./../img_out/final_20_12_7_4/nautre_8_7.jpeg,2,2.353883
./../img_out/final_20_12_7_4/nature_3.jpeg,4,2.53603
./../img_out/final_20_12_7_4/portrait_8_4.jpeg,1,2.322025
./../img_out/final_20_12_7_4/nature_2_r_20.jpeg,2,6.049756
./../img_out/final_20_12_7_4/nautre_9_r_20.jpeg,3,5.717947
./../img_out/final_20_12_7_4/art_9_r_7.jpeg,2,1.199305
./../img_out/final_20_12_7_4/portrait_3_r_12.jpeg,3,4.833571
./../img_out/final_20_12_7_4/portrait_1_12.jpeg,3,1.750011
./../img_out/final_20_12_7_4/portrait_2_4.jpeg,1,4.05504
./../img_out/final_20_12_7_4/portrait_6_r_7.jpeg,1,1.341271
./../img_out/final_20_12_7_4/art_3_r_7.jpeg,1,2.811604
./../img_out/final_20_12_7_4/nature_1_r_20.jpeg,5,2.684884
./../img_out/final_20_12_7_4/nautre_8_r_20.jpeg,4,6.204884
./../img_out/final_20_12_7_4/portrait_2_7.jpeg,2,4.707391
./../img_out/final_20_12_7_4/portrait_9_r_20.jpeg,4,2.628118
./../img_out/final_20_12_7_4/nature_1_r_12.jpeg,3,6.00352
./../img_out/final_20_12_7_4/art_9_20.jpeg,3,3.333644
./../img_out/final_20_12_7_4/nature_2_4.jpeg,1,1.540618
./../img_out/final_20_12_7_4/portrait_10_7.jpeg,2,1.432707
./../img_out/final_20_12_7_4/portrait_1_20.jpeg,4,4.41316
./../img_out/final_20_12_7_4/art_7_12.jpeg,2,4.51487
./../img_out/final_20_12_7_4/portrait_6_12.jpeg,2,2.578396
./../img_out/final_20_12_7_4/nature_3_20.jpeg,2,4.287986
./../img_out/final_20_12_7_4/nautre_8_r.jpeg,4,4.14036
./../img_out/final_20_12_7_4/nature_5_7.jpeg,4,2.156
./../img_out/final_20_12_7_4/portrait_2.jpeg,5,3.231915
./../img_out/final_20_12_7_4/nature_7_r_7.jpeg,2,3.355666
./../img_out/final_20_12_7_4/portrait_6_4.jpeg,1,1.901222
./../img_out/final_20_12_7_4/portrait_8_20.jpeg,3,2.237104
./../img_out/final_20_12_7_4/portrait_7_4.jpeg,1,2.42561
./../img_out/final_20_12_7_4/art_8_r_7.jpeg,2,1.451979
./../img_out/final_20_12_7_4/nature_4_4.jpeg,2,1.884874
./../img_out/final_20_12_7_4/art_2_r_20.jpeg,2,2.830164
./../img_out/final_20_12_7_4/art_7_r_12.jpeg,2,5.765548
./../img_out/final_20_12_7_4/art_1_r_4.jpeg,3,1.09127
./../img_out/final_20_12_7_4/nautre_9_12.jpeg,4,3.978101
./../img_out/final_20_12_7_4/nature_3_r_20.jpeg,4,1.075509
./../img_out/final_20_12_7_4/art_9_r_12.jpeg,4,6.99642
./../img_out/final_20_12_7_4/portrait_7_7.jpeg,2,2.049439
./../img_out/final_20_12_7_4/nature_6_r.jpeg,5,2.237407
./../img_out/final_20_12_7_4/nature_7_4.jpeg,1,2.554316
./../img_out/final_20_12_7_4/art_7_20.jpeg,3,4.363889
./../img_out/final_20_12_7_4/portrait_5_7.jpeg,1,2.024687
./../img_out/final_20_12_7_4/nature_2_r_7.jpeg,1,3.932429
./../img_out/final_20_12_7_4/nature_10_4.jpeg,1,0.925905
./../img_out/final_20_12_7_4/portrait_2_12.jpeg,4,5.891198
./../img_out/final_20_12_7_4/portrait_5_4.jpeg,1,3.02153
./../img_out/final_20_12_7_4/art_1_12.jpeg,4,5.666509
./../img_out/final_20_12_7_4/nautre_8_4.jpeg,2,4.313947
./../img_out/final_20_12_7_4/nature_3_r_4.jpeg,1,1.185524
./../img_out/final_20_12_7_4/nature_10.jpeg,4,2.162916
./../img_out/final_20_12_7_4/art_5_20.jpeg,4,4.346266
./../img_out/final_20_12_7_4/art_10_20.jpeg,3,2.061077
./../img_out/final_20_12_7_4/art_2_r_7.jpeg,4,1.107269
./../img_out/final_20_12_7_4/portrait_9_20.jpeg,3,3.209034
./../img_out/final_20_12_7_4/art_5_4.jpeg,2,2.107446
./../img_out/final_20_12_7_4/art_6_7.jpeg,2,1.286826
./../img_out/final_20_12_7_4/portrait_2_r_7.jpeg,2,7.944519
./../img_out/final_20_12_7_4/portrait_3_r_4.jpeg,1,2.493889
./../img_out/final_20_12_7_4/art_4_r_12.jpeg,4,4.666141
./../img_out/final_20_12_7_4/portrait_4.jpeg,5,2.33066
./../img_out/final_20_12_7_4/portrait_2_r_12.jpeg,5,4.179829
./../img_out/final_20_12_7_4/portrait_9_r_7.jpeg,3,3.985918
./../img_out/final_20_12_7_4/nature_6_7.jpeg,4,4.998821
./../img_out/final_20_12_7_4/art_3_7.jpeg,2,2.689548
./../img_out/final_20_12_7_4/portrait_2_r_4.jpeg,3,1.777484
./../img_out/final_20_12_7_4/art_10_r_20.jpeg,3,6.107414
./../img_out/final_20_12_7_4/art_6_r_7.jpeg,2,1.343055
./../img_out/final_20_12_7_4/art_2.jpeg,5,3.332377
./../img_out/final_20_12_7_4/nautre_9_4.jpeg,3,4.66597
./../img_out/final_20_12_7_4/portrait_3_20.jpeg,5,2.598025
./../img_out/final_20_12_7_4/nature_10_r_20.jpeg,5,1.04282
./../img_out/final_20_12_7_4/nature_6_r_4.jpeg,1,1.288395
./../img_out/final_20_12_7_4/nature_1_r.jpeg,4,4.532749
./../img_out/final_20_12_7_4/portrait_9_r_4.jpeg,1,1.285363
./../img_out/final_20_12_7_4/portrait_8_r_7.jpeg,2,1.404197
./../img_out/final_20_12_7_4/art_7_4.jpeg,1,1.358828
./../img_out/final_20_12_7_4/art_4_12.jpeg,5,1.598657
./../img_out/final_20_12_7_4/portrait_10_r_12.jpeg,4,1.623323
./../img_out/final_20_12_7_4/portrait_3_4.jpeg,1,0.960318
./../img_out/final_20_12_7_4/nature_7_r_12.jpeg,3,3.60134
./../img_out/final_20_12_7_4/nature_5_r_12.jpeg,3,1.427777
./../img_out/final_20_12_7_4/art_1_r_7.jpeg,3,1.206387
./../img_out/final_20_12_7_4/portrait_1_r_4.jpeg,2,2.60576
./../img_out/final_20_12_7_4/nature_7_12.jpeg,4,5.343415
./../img_out/final_20_12_7_4/portrait_6_20.jpeg,4,6.013188
./../img_out/final_20_12_7_4/art_10_7.jpeg,3,2.663203
./../img_out/final_20_12_7_4/portrait_4_r_12.jpeg,3,1.998029
./../img_out/final_20_12_7_4/nature_3_7.jpeg,3,1.037703
./../img_out/final_20_12_7_4/art_7_r.jpeg,4,3.451221
./../img_out/final_20_12_7_4/portrait_9_r.jpeg,5,1.642366
./../img_out/final_20_12_7_4/portrait_10_4.jpeg,1,2.08067
./../img_out/final_20_12_7_4/nature_7_20.jpeg,3,1.320212
./../img_out/final_20_12_7_4/nature_4_7.jpeg,3,1.920159
./../img_out/final_20_12_7_4/art_4_r_20.jpeg,4,1.63234
