test_image,response,resptime
./img_out/final_20_12_7_4/nature_3_r.jpeg,3,11.625858
./img_out/final_20_12_7_4/portrait_9_4.jpeg,1,2.923329
./img_out/final_20_12_7_4/art_6_20.jpeg,3,2.622191
./img_out/final_20_12_7_4/art_9_12.jpeg,2,2.62999
./img_out/final_20_12_7_4/nature_10_7.jpeg,2,2.831312
./img_out/final_20_12_7_4/nautre_9_r.jpeg,3,1.492401
./img_out/final_20_12_7_4/art_5.jpeg,4,5.104818
./img_out/final_20_12_7_4/nature_2_7.jpeg,2,1.599911
./img_out/final_20_12_7_4/portrait_4_r_4.jpeg,1,1.162956
./img_out/final_20_12_7_4/nautre_8_7.jpeg,3,1.797694
./img_out/final_20_12_7_4/nature_3.jpeg,4,2.894465
./img_out/final_20_12_7_4/portrait_8_4.jpeg,2,1.351465
./img_out/final_20_12_7_4/nature_2_r_20.jpeg,3,2.651892
./img_out/final_20_12_7_4/nautre_9_r_20.jpeg,3,2.699183
./img_out/final_20_12_7_4/art_9_r_7.jpeg,2,1.193164
./img_out/final_20_12_7_4/portrait_3_r_12.jpeg,3,2.959494
./img_out/final_20_12_7_4/portrait_1_12.jpeg,3,1.634512
./img_out/final_20_12_7_4/portrait_2_4.jpeg,2,1.001981
./img_out/final_20_12_7_4/portrait_6_r_7.jpeg,2,1.079321
./img_out/final_20_12_7_4/art_3_r_7.jpeg,1,1.574267
./img_out/final_20_12_7_4/nature_1_r_20.jpeg,2,2.163666
./img_out/final_20_12_7_4/nautre_8_r_20.jpeg,3,1.327248
./img_out/final_20_12_7_4/portrait_2_7.jpeg,5,4.408395
./img_out/final_20_12_7_4/portrait_9_r_20.jpeg,3,7.94793
./img_out/final_20_12_7_4/nature_1_r_12.jpeg,4,1.398013
./img_out/final_20_12_7_4/art_9_20.jpeg,4,1.391553
./img_out/final_20_12_7_4/nature_2_4.jpeg,2,1.087863
./img_out/final_20_12_7_4/portrait_10_7.jpeg,3,1.299144
./img_out/final_20_12_7_4/portrait_1_20.jpeg,4,1.332227
./img_out/final_20_12_7_4/art_7_12.jpeg,4,1.605969
./img_out/final_20_12_7_4/portrait_6_12.jpeg,3,2.473181
./img_out/final_20_12_7_4/nature_3_20.jpeg,4,1.565824
./img_out/final_20_12_7_4/nautre_8_r.jpeg,4,1.384917
./img_out/final_20_12_7_4/nature_5_7.jpeg,3,2.122404
./img_out/final_20_12_7_4/portrait_2.jpeg,5,1.384261
./img_out/final_20_12_7_4/nature_7_r_7.jpeg,2,2.200495
./img_out/final_20_12_7_4/portrait_6_4.jpeg,2,0.742957
./img_out/final_20_12_7_4/portrait_8_20.jpeg,5,3.351048
./img_out/final_20_12_7_4/portrait_7_4.jpeg,1,2.086763
./img_out/final_20_12_7_4/art_8_r_7.jpeg,2,1.616351
./img_out/final_20_12_7_4/nature_4_4.jpeg,2,0.964123
./img_out/final_20_12_7_4/art_2_r_20.jpeg,4,5.334352
./img_out/final_20_12_7_4/art_7_r_12.jpeg,4,1.647392
./img_out/final_20_12_7_4/art_1_r_4.jpeg,4,1.66096
./img_out/final_20_12_7_4/nautre_9_12.jpeg,4,1.987192
