test_image,response,resptime
./../img_out/final_20_12_7_4/nature_3_r.jpeg,4,3.502104
./../img_out/final_20_12_7_4/portrait_9_4.jpeg,2,0.879264
./../img_out/final_20_12_7_4/art_6_20.jpeg,2,1.139031
./../img_out/final_20_12_7_4/art_9_12.jpeg,3,2.331891
./../img_out/final_20_12_7_4/nature_10_7.jpeg,2,0.844067
./../img_out/final_20_12_7_4/nautre_9_r.jpeg,3,2.169028
./../img_out/final_20_12_7_4/art_5.jpeg,3,1.276772
./../img_out/final_20_12_7_4/nature_2_7.jpeg,2,0.853129
./../img_out/final_20_12_7_4/portrait_4_r_4.jpeg,1,0.965624
./../img_out/final_20_12_7_4/nautre_8_7.jpeg,2,0.773148
./../img_out/final_20_12_7_4/nature_3.jpeg,3,1.319635
./../img_out/final_20_12_7_4/portrait_8_4.jpeg,2,2.999601
./../img_out/final_20_12_7_4/nature_2_r_20.jpeg,2,1.412851
./../img_out/final_20_12_7_4/nautre_9_r_20.jpeg,3,1.494271
./../img_out/final_20_12_7_4/art_9_r_7.jpeg,2,4.487768
./../img_out/final_20_12_7_4/portrait_3_r_12.jpeg,4,1.355324
./../img_out/final_20_12_7_4/portrait_1_12.jpeg,5,1.173932
./../img_out/final_20_12_7_4/portrait_2_4.jpeg,2,0.847199
./../img_out/final_20_12_7_4/portrait_6_r_7.jpeg,2,0.960368
./../img_out/final_20_12_7_4/art_3_r_7.jpeg,2,2.409866
./../img_out/final_20_12_7_4/nature_1_r_20.jpeg,3,1.201378
./../img_out/final_20_12_7_4/nautre_8_r_20.jpeg,4,2.997737
./../img_out/final_20_12_7_4/portrait_2_7.jpeg,3,1.658156
./../img_out/final_20_12_7_4/portrait_9_r_20.jpeg,4,2.573652
./../img_out/final_20_12_7_4/nature_1_r_12.jpeg,2,0.925558
./../img_out/final_20_12_7_4/art_9_20.jpeg,4,2.735604
./../img_out/final_20_12_7_4/nature_2_4.jpeg,2,2.898161
./../img_out/final_20_12_7_4/portrait_10_7.jpeg,2,2.088302
./../img_out/final_20_12_7_4/portrait_1_20.jpeg,5,1.267283
./../img_out/final_20_12_7_4/art_7_12.jpeg,2,2.774987
./../img_out/final_20_12_7_4/portrait_6_12.jpeg,3,2.887316
./../img_out/final_20_12_7_4/nature_3_20.jpeg,4,1.395473
./../img_out/final_20_12_7_4/nautre_8_r.jpeg,2,1.274577
./../img_out/final_20_12_7_4/nature_5_7.jpeg,2,1.043823
./../img_out/final_20_12_7_4/portrait_2.jpeg,5,1.01805
./../img_out/final_20_12_7_4/nature_7_r_7.jpeg,3,2.054257
./../img_out/final_20_12_7_4/portrait_6_4.jpeg,1,1.205834
./../img_out/final_20_12_7_4/portrait_8_20.jpeg,5,1.973795
./../img_out/final_20_12_7_4/portrait_7_4.jpeg,2,2.010054
./../img_out/final_20_12_7_4/art_8_r_7.jpeg,2,1.347387
./../img_out/final_20_12_7_4/nature_4_4.jpeg,2,0.960385
./../img_out/final_20_12_7_4/art_2_r_20.jpeg,4,3.901366
./../img_out/final_20_12_7_4/art_7_r_12.jpeg,4,1.22159
./../img_out/final_20_12_7_4/art_1_r_4.jpeg,3,1.063211
./../img_out/final_20_12_7_4/nautre_9_12.jpeg,4,3.127045
./../img_out/final_20_12_7_4/nature_3_r_20.jpeg,4,5.1643
